sample_id,target,modality,official_seq_index,signed_importance,absolute_importance,mapping_status,token_id,char_start,char_end,raw_text_substring
05,classification,vision,5,0.014452867209911346,0.014452867209911346,index_only,,,,
05,regression,text,12,0.02653946727514267,0.02653946727514267,verified_text,2417,41,44,Red
05,regression,text,6,-0.023894643411040306,0.023894643411040306,verified_text,9318,15,20,Chloe
05,regression,text,3,-0.018626539036631584,0.018626539036631584,verified_text,2026,4,6,my
05,regression,text,4,-0.01839340291917324,0.01839340291917324,verified_text,2171,7,11,name
05,regression,text,13,-0.018237978219985962,0.018237978219985962,verified_text,9540,45,50,Wagon
05,regression,audio,13,-0.0073461527936160564,0.0073461527936160564,index_only,,,,
05,regression,audio,14,-0.007196861319243908,0.007196861319243908,index_only,,,,
05,regression,audio,15,-0.007196861319243908,0.007196861319243908,index_only,,,,
05,regression,audio,1,-0.006530494429171085,0.006530494429171085,index_only,,,,
05,regression,audio,2,-0.006530494429171085,0.006530494429171085,index_only,,,,
05,regression,vision,1,0.025481095537543297,0.025481095537543297,index_only,,,,
05,regression,vision,2,0.025481095537543297,0.025481095537543297,index_only,,,,
05,regression,vision,4,0.024363288655877113,0.024363288655877113,index_only,,,,
05,regression,vision,3,0.023496095091104507,0.023496095091104507,index_only,,,,
05,regression,vision,5,0.022167783230543137,0.022167783230543137,index_only,,,,
06,classification,text,21,0.030596477910876274,0.030596477910876274,verified_text,8052,79,89,impressive
06,classification,text,6,0.03037456050515175,0.03037456050515175,verified_text,5470,12,15,fan
06,classification,text,24,0.03011235222220421,0.03011235222220421,verified_text,2059,102,106,then
06,classification,text,14,0.021865911781787872,0.021865911781787872,verified_text,2066,47,51,like
06,classification,text,9,0.019269263371825218,0.019269263371825218,verified_text,1999,27,29,in
06,classification,audio,2,0.004306204617023468,0.004306204617023468,index_only,,,,
06,classification,audio,3,0.004306204617023468,0.004306204617023468,index_only,,,,
06,classification,audio,4,0.004306204617023468,0.004306204617023468,index_only,,,,
06,classification,audio,21,0.004136677365750074,0.004136677365750074,index_only,,,,
06,classification,audio,1,0.003998523112386465,0.003998523112386465,index_only,,,,
06,classification,vision,16,-0.0027103214524686337,0.0027103214524686337,index_only,,,,
06,classification,vision,15,-0.0025030903052538633,0.0025030903052538633,index_only,,,,
06,classification,vision,14,-0.00241633178666234,0.00241633178666234,index_only,,,,
06,classification,vision,10,-0.0023363474756479263,0.0023363474756479263,index_only,,,,
06,classification,vision,17,-0.0022605259437114,0.0022605259437114,index_only,,,,
06,regression,text,21,0.031431760638952255,0.031431760638952255,verified_text,8052,79,89,impressive
06,regression,text,6,0.029509413987398148,0.029509413987398148,verified_text,5470,12,15,fan
06,regression,text,29,-0.02661272883415222,0.02661272883415222,verified_text,4638,125,130,check
06,regression,text,24,0.01771647296845913,0.01771647296845913,verified_text,2059,102,106,then
06,regression,text,14,0.017364613711833954,0.017364613711833954,verified_text,2066,47,51,like
06,regression,audio,5,0.0062003000639379025,0.0062003000639379025,index_only,,,,
06,regression,audio,2,0.0060010068118572235,0.0060010068118572235,index_only,,,,
06,regression,audio,3,0.0060010068118572235,0.0060010068118572235,index_only,,,,
06,regression,audio,4,0.0060010068118572235,0.0060010068118572235,index_only,,,,
06,regression,audio,7,0.005882821045815945,0.005882821045815945,index_only,,,,
06,regression,vision,16,-0.004910820629447699,0.004910820629447699,index_only,,,,
06,regression,vision,14,-0.00476795295253396,0.00476795295253396,index_only,,,,
